wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbStatus,wlbPurpose,wlbPurposePlanned,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbEntryPreDrillDate,wlbCompPreDrillDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbPluggedAbandonDate,wlbPluggedDate,wlbLicenceTargetName,wlbPlotSymbol,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,wlbWdssQcDate,wlbReleasedDate,prlNpdidProductionLicence,prlNpdidProdLicenceTarget,fclNpdidFacilityDrilling,fclNpdidFacilityProducing,wlbNpdidWellboreReclass,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
1/3-A-1 H,1/3-A-1,DONG E&P Norge AS,274 ,P&A,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT,YES,22.07.2011,21.09.2011,,,OSELVAR,3365-P,1/3-6 Oselvar,NO,45.0,3163.0,5927.0,72.0,,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,OSELVAR,NST2001,NO,OIL,2011,2011,,05.08.2021,24.07.2021,,50,ED50  ,56,55,55.06,N,2,40,16.66,E,56.931961,2.671294,6310001.50,479994.47,31,1,3,A,1,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6612,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=6612,initial             ,                                        ,6612,43832,5506919,,21.09.2013,2060266,,278245,410592,0,07.08.2021,06.10.2015,28.04.2022
1/3-A-2 H,1/3-A-2,DONG E&P Norge AS,274 ,P&A,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT,YES,18.11.2011,19.01.2012,19.06.2011,04.07.2011,OSELVAR,3366-P,1/3-6 Oselvar,NO,45.0,3170.0,5882.0,72.0,,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,OSELVAR,NST2001,NO,OIL,2011,2012,,05.08.2021,18.05.2021,,50,ED50  ,56,55,54.89,N,2,40,16.67,E,56.931914,2.671297,6309996.24,479994.61,31,1,3,A,2,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6613,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=6613,initial             ,                                        ,6613,43832,5506919,,19.01.2014,2060266,,278245,410592,0,07.08.2021,06.10.2015,28.04.2022
1/3-A-3 H,1/3-A-3,DONG E&P Norge AS,274 ,P&A,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT,YES,04.03.2012,14.05.2012,05.07.2011,21.07.2011,OSELVAR,3367-P,1/3-6 Oselvar,NO,45.0,3171.0,6665.0,72.0,,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,OSELVAR,NST2001,NO,OIL,2012,2012,,05.08.2021,11.07.2021,,50,ED50  ,56,55,55.07,N,2,40,17.32,E,56.931964,2.671478,6310001.76,480005.63,31,1,3,A,3,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6614,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=6614,initial             ,                                        ,6614,43832,5506919,,14.05.2014,2060266,,278245,410592,0,07.08.2021,06.10.2015,28.04.2022
1/3-K-1,1/3-K-1,BP Amoco Norge AS,065 ,PRODUCING,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,08.05.1998,31.07.1998,,,TAMBAR,1942-P,1/3-3 Tambar,NO,50.0,4386.0,4543.0,68.0,,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,1998,1998,1/3-9 S  ,,,,50,ED50  ,56,58,57.93,N,2,57,31.44,E,56.982758,2.958733,6315608.87,497491.85,31,1,3,K,1,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4320,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=4320,initial             ,                                        ,4320,43826,1028599,,31.07.2000,21316,,296191,280793,3362,22.04.2022,06.10.2015,28.04.2022
1/3-K-2,1/3-K-2,Aker BP ASA,065 ,PLUGGED,OBSERVATION,PRODUCTION,NOT APPLICABLE,DEVELOPMENT, NO,02.01.2018,19.01.2018,27.10.2017,03.11.2017,TAMBAR,4277-P,1/3-3 Tambar,NO,70.0,4379.0,4911.0,67.4,,NORTH SEA,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2018,2018,,,19.01.2018,,99,ED50  ,56,58,57.99,N,2,57,31.52,E,56.982775,2.958756,6315610.72,497493.21,31,1,3,K,2,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=8286,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=8286,initial             ,                                        ,8286,43826,1028599,,19.01.2020,21316,,436222,280793,0,23.02.2021,,28.04.2022
1/3-K-2 A,1/3-K-2,Aker BP ASA,065 ,PLUGGED,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,20.01.2018,26.01.2018,,,TAMBAR,4620-P,1/3-3 Tambar,NO,69.4,4270.0,5355.0,67.4,4470.0,NORTH SEA,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2018,2018,,,01.03.2021,,50,ED50  ,56,58,57.99,N,2,57,31.52,E,56.982775,2.958756,6315610.72,497493.21,31,1,3,K,2,A,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=8359,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=8359,sidetrack           ,1/3-K-2                                 ,8359,43826,1028599,,26.01.2020,21316,,436222,280793,0,04.03.2021,,28.04.2022
1/3-K-2 B,1/3-K-2,Aker BP ASA,065 ,PRODUCING,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,03.03.2021,30.03.2021,,,TAMBAR,5200-P,1/3-3 Tambar,NO,69.4,,6565.0,67.4,1957.0,NORTH SEA,MAERSK INTEGRATOR,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2021,2021,,,,,50,ED50  ,56,58,57.99,N,2,57,31.52,E,56.982775,2.958756,6315610.72,497493.21,31,1,3,K,2,B,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=9254,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=9254,sidetrack           ,1/3-K-2 A                               ,9254,43826,1028599,,30.03.2023,21316,,439774,280793,0,22.04.2022,,28.04.2022
1/3-K-3,1/3-K-3,BP Amoco Norge AS,065 ,CLOSED,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,08.09.2001,24.10.2001,,,TAMBAR,2003-P,1/3-3 Tambar,NO,50.3,4286.0,4710.0,67.4,,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2001,2001,,,,,50,ED50  ,56,58,58.05,N,2,57,31.61,E,56.982792,2.958781,6315612.58,497494.73,31,1,3,K,3,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4396,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=4396,initial             ,                                        ,4396,43826,1028599,,24.10.2003,21316,,296191,280793,0,12.04.2021,06.10.2015,28.04.2022
1/3-K-4,1/3-K-4,Aker BP ASA,065 ,CLOSED,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,06.11.2017,15.12.2017,21.10.2017,25.10.2017,TAMBAR,4278-P,1/3-3 Tambar,NO,70.0,4355.0,6436.0,67.4,,NORTH SEA,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2017,2017,,,,,50,ED50  ,56,58,57.92,N,2,57,31.58,E,56.982756,2.958772,6315608.56,497494.22,31,1,3,K,4,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=8287,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=8287,initial             ,                                        ,8287,43826,1028599,,15.12.2019,21316,,436222,280793,0,22.02.2022,,28.04.2022
1/3-K-5,1/3-K-5,BP Norge AS,065 ,PLUGGED,OBSERVATION,OBSERVATION,OIL,DEVELOPMENT, NO,13.03.2007,29.06.2007,,,TAMBAR ØST,2808-P,1/3-K-5 Tambar Øst,YES,45.0,4295.0,5268.0,67.4,,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2007,2007,,,29.06.2007,,99,ED50  ,56,58,57.97,N,2,57,31.67,E,56.982769,2.958797,6315610.10,497495.74,31,1,3,K,5,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=5485,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=5485,initial             ,                                        ,5485,4999519,4999528,,29.06.2009,21316,,292114,280793,0,12.04.2021,06.10.2015,28.04.2022
